GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chris-ims,com.qa.ims.controller,OrderAction,37,104,4,0,10,10,4,3,2,3
chris-ims,com.qa.ims.controller,OrderController,49,180,0,6,15,39,4,8,4,5
chris-ims,com.qa.ims.controller,ItemController,6,104,0,2,2,29,2,7,2,6
chris-ims,com.qa.ims.controller,Action,37,82,4,0,10,9,4,3,2,3
chris-ims,com.qa.ims.controller,CustomerController,3,104,0,2,1,29,1,7,1,6
chris-ims,com.qa.ims,IMS,169,0,23,0,60,0,23,0,5,0
chris-ims,com.qa.ims,Runner,13,0,0,0,5,0,3,0,3,0
chris-ims,com.qa.ims.persistence.dao,OrderDAO,484,80,7,1,110,15,15,5,11,5
chris-ims,com.qa.ims.persistence.dao,ItemDAO,65,225,0,2,23,39,0,10,0,9
chris-ims,com.qa.ims.persistence.dao,CustomerDaoMysql,144,206,2,2,39,36,3,10,2,9
chris-ims,com.qa.ims.services,ItemService,0,28,0,0,0,8,0,5,0,5
chris-ims,com.qa.ims.services,OrderServicesRemade,0,40,0,0,0,11,0,7,0,7
chris-ims,com.qa.ims.services,CustomerServices,0,28,0,0,0,8,0,5,0,5
chris-ims,com.qa.ims.utils,Utils,36,0,2,0,10,0,7,0,6,0
chris-ims,com.qa.ims.utils,DBUtils,25,65,2,4,4,18,1,7,0,5
chris-ims,com.qa.ims.persistence.domain,Domain,34,71,2,0,9,8,3,3,2,3
chris-ims,com.qa.ims.persistence.domain,Customer,0,176,0,30,0,48,0,26,0,11
chris-ims,com.qa.ims.persistence.domain,Order,0,355,0,54,0,104,0,50,0,23
chris-ims,com.qa.ims.persistence.domain,Item,0,176,0,30,0,47,0,26,0,11
